Sex,Agemos,L,M,S,P3,P5,P10,P25,P50,P75,P90,P95,P97
1,0,1.000000,34.461800,0.036900,32.069844,32.369952,32.831557,33.604714,34.461800,35.318886,36.092043,36.553648,36.853756
1,1,1.000000,37.275900,0.031300,35.081270,35.356620,35.780145,36.489520,37.275900,38.062280,38.771655,39.195180,39.470530
1,2,1.000000,39.128500,0.030000,36.920479,37.197509,37.623618,38.337322,39.128500,39.919678,40.633382,41.059491,41.336521
1,3,1.000000,40.513500,0.029200,38.288288,38.567475,38.996901,39.716162,40.513500,41.310838,42.030099,42.459525,42.738712
1,4,1.000000,41.631700,0.028700,39.384225,39.666205,40.099928,40.826385,41.631700,42.437015,43.163472,43.597195,43.879175
1,5,1.000000,42.557600,0.028400,40.284156,40.569394,41.008129,41.742979,42.557600,43.372221,44.107071,44.545806,44.831044
1,6,1.000000,43.330600,0.028200,41.032163,41.320537,41.764095,42.507024,43.330600,44.154176,44.897105,45.340663,45.629037
1,7,1.000000,43.980300,0.028000,41.663946,41.954567,42.401583,43.150304,43.980300,44.810296,45.559017,46.006033,46.296654
1,8,1.000000,44.530000,0.028000,42.184694,42.478948,42.931551,43.689630,44.530000,45.370370,46.128449,46.581052,46.875306
1,9,1.000000,44.999800,0.027900,42.638215,42.934512,43.390256,44.153597,44.999800,45.846003,46.609344,47.065088,47.361385
1,10,1.000000,45.405100,0.027900,43.022245,43.321210,43.781059,44.551275,45.405100,46.258925,47.029141,47.488990,47.787955
1,11,1.000000,45.757300,0.027900,43.355961,43.657246,44.120662,44.896852,45.757300,46.617748,47.393938,47.857354,48.158639
1,12,1.000000,46.066100,0.027900,43.648556,43.951873,44.418417,45.199845,46.066100,46.932355,47.713783,48.180327,48.483644
1,13,1.000000,46.339500,0.027900,43.907608,44.212725,44.682038,45.468104,46.339500,47.210896,47.996962,48.466275,48.771392
1,14,1.000000,46.584400,0.027900,44.139655,44.446386,44.918178,45.708399,46.584400,47.460401,48.250622,48.722414,49.029145
1,15,1.000000,46.806000,0.027900,44.349626,44.657815,45.131852,45.925832,46.806000,47.686168,48.480148,48.954185,49.262374
1,16,1.000000,47.008800,0.028000,44.532941,44.843575,45.321372,46.121650,47.008800,47.895950,48.696228,49.174025,49.484659
1,17,1.000000,47.196200,0.028000,44.710471,45.022343,45.502045,46.305513,47.196200,48.086887,48.890355,49.370057,49.681929
1,18,1.000000,47.371100,0.028000,44.876159,45.189187,45.670667,46.477113,47.371100,48.265087,49.071533,49.553013,49.866041
1,19,1.000000,47.535700,0.028000,45.032090,45.346206,45.829359,46.638606,47.535700,48.432794,49.242041,49.725194,50.039310
1,20,1.000000,47.691900,0.028100,45.171092,45.487366,45.973837,46.788644,47.691900,48.595156,49.409963,49.896434,50.212708
1,21,1.000000,47.840800,0.028100,45.312122,45.629383,46.117373,46.934724,47.840800,48.746876,49.564227,50.052217,50.369478
1,22,1.000000,47.983300,0.028100,45.447090,45.765296,46.254740,47.074525,47.983300,48.892075,49.711860,50.201304,50.519510
1,23,1.000000,48.120100,0.028200,45.567608,45.887857,46.380443,47.205491,48.120100,49.034709,49.859757,50.352343,50.672592
1,24,1.000000,48.251500,0.028200,45.692038,46.013161,46.507092,47.334393,48.251500,49.168607,49.995908,50.489839,50.810962
2,0,1.000000,33.878700,0.035000,31.648296,31.928134,32.358563,33.079501,33.878700,34.677899,35.398837,35.829266,36.109104
2,1,1.000000,36.546300,0.032100,34.339631,34.616491,35.042339,35.755606,36.546300,37.336994,38.050261,38.476109,38.752969
2,2,1.000000,38.252100,0.031700,35.971215,36.257387,36.697558,37.434813,38.252100,39.069387,39.806642,40.246813,40.532985
2,3,1.000000,39.532800,0.031400,37.197858,37.490812,37.941415,38.696144,39.532800,40.369456,41.124185,41.574788,41.867742
2,4,1.000000,40.581700,0.031200,38.200074,38.498885,38.958497,39.728316,40.581700,41.435084,42.204903,42.664515,42.963326
2,5,1.000000,41.459000,0.031000,39.041484,39.344798,39.811336,40.592756,41.459000,42.325244,43.106664,43.573202,43.876516
2,6,1.000000,42.199500,0.030900,39.746743,40.054478,40.527817,41.320628,42.199500,43.078372,43.871183,44.344522,44.652257
2,7,1.000000,42.829000,0.030800,40.347710,40.659026,41.137871,41.939904,42.829000,43.718096,44.520129,44.998974,45.310290
2,8,1.000000,43.367100,0.030600,40.870950,41.184130,41.665843,42.472680,43.367100,44.261520,45.068357,45.550070,45.863250
2,9,1.000000,43.830000,0.030500,41.315451,41.630939,42.116203,42.928987,43.830000,44.731013,45.543797,46.029061,46.344549
2,10,1.000000,44.231900,0.030400,41.702614,42.019951,42.508059,43.325606,44.231900,45.138194,45.955741,46.443849,46.761186
2,11,1.000000,44.584400,0.030400,42.034957,42.354823,42.846821,43.670883,44.584400,45.497917,46.321979,46.813977,47.133843
2,12,1.000000,44.896500,0.030300,42.337655,42.658701,43.152513,43.979615,44.896500,45.813385,46.640487,47.134299,47.455345
2,13,1.000000,45.175200,0.030200,42.608969,42.930941,43.426179,44.255668,45.175200,46.094732,46.924221,47.419459,47.741431
2,14,1.000000,45.426500,0.030100,42.854538,43.177230,43.673573,44.504914,45.426500,46.348086,47.179427,47.675770,47.998462
2,15,1.000000,45.655100,0.030100,43.070195,43.394511,43.893352,44.728877,45.655100,46.581323,47.416848,47.915689,48.240005
2,16,1.000000,45.865000,0.030000,43.276838,43.601562,44.101032,44.937610,45.865000,46.792390,47.628968,48.128438,48.453162
2,17,1.000000,46.059800,0.029900,43.469309,43.794326,44.294245,45.131575,46.059800,46.988025,47.825355,48.325274,48.650291
2,18,1.000000,46.242400,0.029900,43.641640,43.967944,44.469846,45.310495,46.242400,47.174305,48.014954,48.516856,48.843160
2,19,1.000000,46.415200,0.029800,43.813452,44.139880,44.641972,45.482941,46.415200,47.347459,48.188428,48.690520,49.016948
2,20,1.000000,46.580100,0.029800,43.969108,44.296697,44.800572,45.644529,46.580100,47.515671,48.359628,48.863503,49.191092
2,21,1.000000,46.738400,0.029700,44.127327,44.454925,44.958817,45.802800,46.738400,47.674000,48.517983,49.021875,49.349473
2,22,1.000000,46.891300,0.029700,44.271685,44.600355,45.105895,45.952639,46.891300,47.829961,48.676705,49.182245,49.510915
2,23,1.000000,47.039100,0.029600,44.420076,44.748672,45.254098,46.100651,47.039100,47.977549,48.824102,49.329528,49.658124
2,24,1.000000,47.182200,0.029600,44.555208,44.884804,45.391768,46.240896,47.182200,48.123504,48.972632,49.479596,49.809192
